epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,6348.36,0.6233,0.93986,0.37874,0.83872,0.48515,0.49281,0.49654,0.44374,0.48479,0.49245,0.49651,0.39664,0.56057,0.65767,0.35537,0.82481,0.000379743,0.000379743,0.000379743
80,6429.94,0.61708,0.91118,0.3738,0.83656,0.48283,0.49495,0.49565,0.45078,0.48283,0.49495,0.49565,0.40383,0.50932,0.67337,0.3564,0.82068,0.000363239,0.000363239,0.000363239
81,6512.91,0.60888,0.90935,0.36783,0.83691,0.4828,0.49414,0.496,0.44564,0.4828,0.49414,0.496,0.4078,0.5456,0.68298,0.35756,0.82447,0.000346736,0.000346736,0.000346736
82,6592.49,0.61021,0.91223,0.36659,0.83568,0.48631,0.48886,0.49603,0.45589,0.48595,0.48851,0.49599,0.39894,0.4609,0.61066,0.34484,0.81204,0.000330233,0.000330233,0.000330233
83,6673.94,0.60814,0.91084,0.36864,0.8367,0.47951,0.49569,0.49555,0.44798,0.47951,0.49569,0.49555,0.40634,0.53011,0.70443,0.36449,0.82187,0.000313729,0.000313729,0.000313729
84,6755.02,0.59037,0.86837,0.36184,0.83319,0.48305,0.4921,0.49596,0.45251,0.48305,0.4921,0.49596,0.40625,0.49619,0.64177,0.34405,0.8155,0.000297226,0.000297226,0.000297226
85,6834.73,0.61261,0.90624,0.3677,0.83654,0.48231,0.48965,0.49558,0.44766,0.48231,0.48965,0.49558,0.40328,0.5363,0.68356,0.35735,0.82263,0.000280723,0.000280723,0.000280723
86,6913.8,0.58413,0.8649,0.35832,0.83236,0.48347,0.49389,0.49599,0.44982,0.48312,0.49353,0.49598,0.40587,0.52598,0.60921,0.35017,0.82031,0.00026422,0.00026422,0.00026422
87,6995.42,0.61088,0.90023,0.36784,0.83538,0.48285,0.49541,0.49612,0.45715,0.4825,0.49505,0.49611,0.4051,0.47672,0.61809,0.34351,0.81263,0.000247716,0.000247716,0.000247716
88,7076.2,0.60599,0.8807,0.36198,0.83555,0.48351,0.49487,0.49573,0.44917,0.48351,0.49487,0.49573,0.40967,0.52299,0.64614,0.35573,0.82217,0.000231213,0.000231213,0.000231213
89,7157.09,0.60902,0.90535,0.36483,0.83287,0.48114,0.49472,0.49585,0.44553,0.48079,0.49436,0.49578,0.39814,0.57029,0.68925,0.355,0.82396,0.00021471,0.00021471,0.00021471
90,7239.89,0.59672,0.8879,0.35892,0.8312,0.48356,0.49389,0.49585,0.44835,0.48356,0.49389,0.49585,0.4025,0.51545,0.67329,0.3484,0.82041,0.000198206,0.000198206,0.000198206
91,7288.26,0.57448,0.85038,0.35066,0.82862,0.98308,0.49461,0.49633,0.45455,0.98308,0.49461,0.49633,0.41028,0.48784,0.65207,0.33831,0.81479,0.000181703,0.000181703,0.000181703
92,7334.37,0.57667,0.87101,0.34215,0.82976,0.98781,0.48878,0.49631,0.44982,0.98745,0.48842,0.49629,0.40816,0.52603,0.67556,0.34537,0.82267,0.0001652,0.0001652,0.0001652
93,7380.43,0.55824,0.8305,0.33659,0.82399,0.99023,0.48661,0.49606,0.44993,0.99023,0.48661,0.49606,0.40235,0.52379,0.66133,0.34405,0.81723,0.000148696,0.000148696,0.000148696
94,7426.81,0.55273,0.82806,0.33301,0.82269,0.48583,0.49251,0.49605,0.44888,0.48583,0.49251,0.49605,0.40547,0.52839,0.62191,0.34033,0.81688,0.000132193,0.000132193,0.000132193
95,7472.84,0.55835,0.83263,0.33025,0.82897,0.98377,0.49425,0.49595,0.44701,0.98342,0.49389,0.49594,0.40511,0.55124,0.61681,0.34641,0.82198,0.00011569,0.00011569,0.00011569
96,7519.18,0.56011,0.83109,0.33049,0.82574,0.98839,0.4903,0.49613,0.44837,0.98839,0.4903,0.49613,0.40759,0.52868,0.6599,0.34122,0.81906,9.91865e-05,9.91865e-05,9.91865e-05
97,7565.69,0.55762,0.8238,0.32931,0.82291,0.98745,0.49066,0.49611,0.44885,0.98745,0.49066,0.49611,0.40663,0.52005,0.65281,0.34329,0.81772,8.26832e-05,8.26832e-05,8.26832e-05
98,7612.03,0.55727,0.83805,0.32796,0.82743,0.98647,0.49076,0.49599,0.45358,0.98647,0.49076,0.49599,0.40924,0.4994,0.64948,0.33877,0.81593,6.61799e-05,6.61799e-05,6.61799e-05
99,7658.4,0.55226,0.81841,0.32696,0.82551,0.98647,0.49061,0.496,0.45059,0.98647,0.49061,0.496,0.40861,0.5138,0.65133,0.33905,0.81718,4.96766e-05,4.96766e-05,4.96766e-05
100,7704.5,0.54645,0.81656,0.32515,0.82407,0.98689,0.49102,0.49599,0.45341,0.98689,0.49102,0.49599,0.40776,0.49698,0.63393,0.33509,0.81485,3.31733e-05,3.31733e-05,3.31733e-05
