epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,3300.54,0.70784,1.08896,0.4478,0.85629,0.97418,0.48818,0.49299,0.43197,0.97261,0.48347,0.48662,0.35458,0.56245,0.82724,0.42561,0.82499,0.00100687,0.00100687,0.00100687
42,3380.75,0.70542,1.08791,0.44888,0.85804,0.98262,0.47878,0.49411,0.41985,0.98193,0.47901,0.49361,0.3857,0.65278,0.86187,0.44525,0.84708,0.000990365,0.000990365,0.000990365
43,3460.76,0.68768,1.03143,0.43355,0.85162,0.98376,0.48147,0.49496,0.44613,0.98335,0.48096,0.49465,0.38998,0.51698,0.69785,0.40898,0.82208,0.000973861,0.000973861,0.000973861
44,3540.9,0.71283,1.09345,0.44584,0.85731,0.47323,0.49534,0.49442,0.42213,0.47289,0.49498,0.49438,0.39177,0.61532,0.77799,0.40893,0.84446,0.000957358,0.000957358,0.000957358
45,3620.66,0.66537,1.01652,0.42624,0.84879,0.98093,0.48926,0.49548,0.42925,0.98093,0.48926,0.49548,0.39143,0.60378,0.78511,0.41716,0.83705,0.000940855,0.000940855,0.000940855
46,3700.11,0.6789,1.03708,0.4372,0.85224,0.48483,0.4842,0.49557,0.43224,0.48483,0.4842,0.49556,0.39781,0.55749,0.68005,0.42865,0.83261,0.000924352,0.000924352,0.000924352
47,3779.01,0.71097,1.08538,0.4404,0.86006,0.98109,0.49066,0.4959,0.43147,0.98039,0.48994,0.49567,0.38561,0.61289,0.74264,0.41156,0.84329,0.000907848,0.000907848,0.000907848
48,3858.31,0.7027,1.05258,0.43484,0.85877,0.98015,0.49569,0.49436,0.42848,0.98015,0.49569,0.49436,0.38423,0.6208,0.78017,0.41556,0.84023,0.000891345,0.000891345,0.000891345
49,3941.95,0.67732,1.01996,0.42699,0.85421,0.48082,0.4952,0.49522,0.44154,0.48082,0.4952,0.49522,0.39285,0.5558,0.78836,0.39427,0.83332,0.000874842,0.000874842,0.000874842
50,4022.37,0.67111,1.01833,0.42675,0.84778,0.98337,0.48023,0.49475,0.4318,0.98337,0.48023,0.49471,0.41277,0.57792,0.67309,0.40677,0.83188,0.000858338,0.000858338,0.000858338
51,4101.07,0.66798,0.98576,0.42715,0.84855,0.97975,0.4921,0.49501,0.44589,0.97975,0.4921,0.49501,0.40244,0.50322,0.61164,0.39525,0.82226,0.000841835,0.000841835,0.000841835
52,4180.85,0.68572,1.00414,0.43286,0.84973,0.98333,0.47917,0.49581,0.43632,0.98333,0.47917,0.49581,0.39772,0.54806,0.66573,0.41155,0.82407,0.000825332,0.000825332,0.000825332
53,4263.48,0.67284,1.02678,0.42014,0.85161,0.98369,0.49389,0.4962,0.42036,0.98369,0.49389,0.4962,0.41169,0.70556,0.87778,0.42769,0.86027,0.000808828,0.000808828,0.000808828
54,4344.1,0.67336,0.99655,0.42356,0.8504,0.98348,0.49404,0.49629,0.43721,0.98348,0.49404,0.49629,0.39178,0.54685,0.7259,0.3838,0.82638,0.000792325,0.000792325,0.000792325
55,4425.97,0.6765,1.04647,0.4209,0.851,0.9854,0.48974,0.49633,0.44609,0.9854,0.48974,0.49633,0.40621,0.4963,0.67621,0.38861,0.8218,0.000775822,0.000775822,0.000775822
56,4506.03,0.65822,1.02544,0.41594,0.8454,0.9842,0.48779,0.49563,0.43625,0.9842,0.48779,0.49563,0.36863,0.55176,0.8558,0.40554,0.83046,0.000759318,0.000759318,0.000759318
57,4585.08,0.67665,1.03755,0.41825,0.85257,0.97927,0.48988,0.49509,0.42206,0.97927,0.48988,0.49509,0.40888,0.64478,0.76318,0.40882,0.83969,0.000742815,0.000742815,0.000742815
