epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,5126.84,1.33956,2.00886,0.88673,1.02071,0.77086,0.84239,0.85357,0.57057,0.76127,0.83104,0.83697,0.46121,1.15588,1.54109,0.8029,0.96005,0.000665057,0.000665057,0.000665057
56,5220.43,1.32884,2.01741,0.88761,1.01829,0.79351,0.8216,0.8423,0.56235,0.80736,0.79782,0.82628,0.4409,1.15497,1.57362,0.82339,0.96834,0.000650909,0.000650909,0.000650909
57,5312.52,1.32581,2.01966,0.87942,1.01243,0.78172,0.84213,0.86723,0.58225,0.7801,0.79294,0.82078,0.444,1.14688,1.55221,0.79383,0.95901,0.000636762,0.000636762,0.000636762
58,5403.4,1.31671,1.98305,0.86245,1.00507,0.79733,0.83375,0.85104,0.57783,0.77859,0.8077,0.8212,0.44261,1.13601,1.56689,0.78093,0.95655,0.000622615,0.000622615,0.000622615
59,5497.33,1.32701,2.00788,0.85901,1.01831,0.8034,0.82518,0.8448,0.56279,0.78652,0.8102,0.81879,0.44272,1.15891,1.55621,0.79032,0.97754,0.000608468,0.000608468,0.000608468
60,5588.92,1.33163,2.01204,0.86866,1.01283,0.8122,0.8226,0.8484,0.57426,0.80208,0.81566,0.83596,0.46346,1.1306,1.55237,0.79706,0.96219,0.000594321,0.000594321,0.000594321
61,5682.92,1.31511,1.97178,0.85694,1.01043,0.82906,0.82496,0.86187,0.57911,0.81423,0.81086,0.83784,0.4669,1.12427,1.54869,0.79299,0.9531,0.000580174,0.000580174,0.000580174
62,5777.07,1.31449,1.98048,0.85617,1.0127,0.81935,0.82818,0.86552,0.58017,0.80035,0.81233,0.84272,0.46547,1.15096,1.53479,0.76412,0.96489,0.000566027,0.000566027,0.000566027
63,5870.3,1.32357,1.97058,0.85569,1.0096,0.8046,0.829,0.86001,0.5787,0.79643,0.80986,0.83551,0.44596,1.13159,1.52706,0.77594,0.95812,0.00055188,0.00055188,0.00055188
64,5962.31,1.30425,1.9569,0.84134,1.00656,0.82326,0.82922,0.86644,0.57992,0.81706,0.81794,0.85138,0.46205,1.124,1.5269,0.76411,0.95205,0.000537733,0.000537733,0.000537733
65,6054.74,1.3068,1.97793,0.85285,1.00547,0.83694,0.81794,0.86783,0.58931,0.82718,0.79644,0.84053,0.45975,1.11743,1.51823,0.76457,0.95361,0.000523586,0.000523586,0.000523586
66,6146.97,1.28895,1.9311,0.83294,0.99846,0.81011,0.81866,0.85415,0.57798,0.80679,0.79822,0.83699,0.46676,1.12265,1.54302,0.77378,0.95699,0.000509438,0.000509438,0.000509438
67,6240.71,1.29064,1.95625,0.85767,1.00336,0.81858,0.83793,0.87386,0.58805,0.81816,0.80175,0.83948,0.46478,1.09946,1.52248,0.75534,0.94358,0.000495291,0.000495291,0.000495291
